order_detail_id,order_id,product_id,quantity,price
77,93,2,3,9818.68
78,11,48,7,7583.52
79,65,40,3,4237.06
80,96,13,3,7900.81
81,45,29,2,8903.67
82,7,38,9,6992.1
83,13,28,10,3346.47
84,56,25,1,2398.98
85,30,1,10,3279.56
86,10,46,3,1460.92
87,44,14,8,2100.47
88,78,14,6,7900.81
89,99,18,4,3054.08
90,79,49,3,3373.77
91,77,46,7,167.62
92,51,5,10,3373.77
93,100,37,8,7583.52
94,42,7,4,602.58
95,4,35,2,1162.28
96,82,12,2,602.58
97,35,24,3,619.66
98,58,21,2,2334.15
99,63,13,10,7498.65
100,30,30,7,6992.1
101,46,8,6,2743.24
102,71,17,7,4826.74
103,49,43,6,619.66
104,56,32,3,9781.32
105,24,34,4,7900.81
106,88,41,5,9345.83
107,75,21,2,3346.47
108,85,39,4,2012.3
109,49,25,9,8575.85
110,11,40,10,5909.62
111,99,26,10,7214.12
112,80,38,10,7214.12
113,38,8,5,3279.56
114,32,23,1,1181.34
115,92,23,5,2100.47
116,10,30,4,1181.34
117,11,40,9,9781.32
118,35,12,10,8575.85
119,20,44,9,3054.08
120,49,46,4,619.66
121,92,20,7,5909.62
122,82,40,5,9140.97
123,20,38,1,2334.15
124,95,6,4,2784.21
125,50,44,8,1162.28
126,41,9,7,6992.1
127,47,21,2,1095.39
128,14,8,4,4643.25
129,12,16,8,8779.76
130,1,20,10,3303.66
131,40,8,2,7900.81
132,57,12,9,5478.67
133,47,24,1,2100.47
134,98,45,6,9972.0
135,35,10,6,3346.47
136,14,33,3,8779.76
137,17,25,7,1460.92
138,12,27,10,4237.06
139,24,39,7,4128.38
140,56,9,6,1460.92
141,58,37,9,685.71
142,72,25,3,685.71
143,72,28,8,3054.08
144,66,12,2,3369.91
145,53,32,1,2784.21
146,14,41,10,5721.03
147,4,35,2,5721.03
148,12,45,1,5721.03
149,46,42,5,7583.52
150,71,12,4,8575.85
151,12,36,1,985.66
152,77,11,1,5478.67
153,77,32,7,9372.43
154,42,19,9,3373.77
155,50,9,5,2917.16
156,2,12,9,6992.1
157,38,21,7,5909.62
158,53,29,7,685.71
159,50,40,7,9972.0
160,100,4,2,619.66
161,11,23,9,9372.43
162,93,1,9,9781.32
163,72,32,10,8575.85
164,32,9,3,8525.49
165,74,13,5,7583.52
166,67,25,2,2012.3
167,22,36,5,2801.09
168,88,33,2,2100.47
169,49,42,9,9972.0
170,22,32,4,9818.68
171,18,27,3,4237.06
172,35,44,9,2917.16
173,39,32,6,2801.09
174,35,27,7,5478.67
175,64,46,10,4237.06
176,19,29,2,4643.25
177,9,32,5,8903.67
178,22,11,7,7258.87
179,56,6,4,9972.0
180,36,37,1,685.71
181,54,2,4,1460.92
182,39,49,2,2100.47
183,62,15,7,7258.87
184,10,19,2,7392.52
185,47,3,8,4826.74
186,33,18,10,2100.47
187,32,15,10,2743.24
188,93,35,1,685.71
189,81,19,5,6992.1
190,64,11,3,2917.16
191,77,50,2,8525.49
192,79,30,1,4237.06
193,26,37,3,2743.24
194,59,48,1,7214.12
195,14,50,3,4826.74
196,18,50,8,1095.39
197,39,32,6,602.58
198,1,36,9,7583.52
199,51,33,9,8287.2
200,43,8,5,7583.52
201,80,37,3,685.71
202,49,8,6,2801.09
203,43,18,3,167.62
204,57,50,5,6992.1
205,43,35,2,2431.66
206,56,24,1,4826.74
207,84,35,6,4643.25
208,77,49,7,9972.0
209,18,3,5,4237.06
210,39,49,9,1460.92
211,42,47,2,1460.92
212,78,29,5,7583.52
213,89,35,10,7214.12
214,26,14,2,7258.87
215,62,28,8,167.62
216,41,7,8,6725.63
217,23,48,9,4237.06
218,51,42,6,7214.12
219,41,49,1,2100.47
220,38,16,8,9818.68
221,95,20,10,6725.63
222,89,3,3,4237.06
223,82,29,6,4643.25
224,63,17,3,4643.25
225,74,23,5,3369.91
226,32,6,2,4643.25
227,42,29,10,9781.32
228,49,8,2,5478.67
229,36,50,4,2801.09
230,51,16,9,2398.98
231,47,14,1,1460.92
232,15,48,1,5478.67
233,73,38,1,2784.21
234,26,45,4,5909.62
235,76,23,1,6992.1
236,70,46,8,4826.74
237,24,40,6,7392.52
238,88,41,7,4826.74
239,99,28,3,2100.47
240,71,11,3,8525.49
241,4,40,1,2917.16
242,94,9,9,7498.65
243,60,14,7,9140.97
244,91,14,4,5721.03
245,27,4,6,9781.32
246,57,37,4,619.66
247,38,23,7,9140.97
248,89,35,6,9818.68
249,9,18,5,1460.92
250,53,39,2,7258.87
251,87,35,10,6992.1
252,64,11,6,2100.47
253,18,21,2,3369.91
254,82,46,9,7214.12
255,39,19,1,9818.68
256,31,19,3,3369.91
257,33,37,4,2743.24
258,85,18,9,2334.15
259,20,33,1,8525.49
260,92,44,7,9345.83
261,55,7,2,1181.34
262,49,9,8,9345.83
263,10,49,5,9818.68
264,58,27,5,8287.2
265,77,4,6,7900.81
266,62,18,2,7214.12
267,75,42,9,602.58
268,52,9,8,9140.97
269,69,45,1,2398.98
270,65,9,6,7258.87
271,89,16,4,619.66
272,54,10,5,1095.39
273,70,46,10,3303.66
274,5,21,5,8779.76
275,47,16,10,2012.3
276,90,49,4,5478.67
277,69,44,8,8575.85
278,77,26,6,7258.87
279,82,32,10,1460.92
280,11,10,8,9818.68
281,14,37,4,3373.77
282,99,41,9,6725.63
283,32,18,4,5721.03
284,85,41,3,4237.06
285,86,27,1,4826.74
286,46,25,7,8287.2
287,22,29,1,7214.12
288,83,5,4,1460.92
289,79,41,9,9972.0
290,6,50,6,2398.98
291,73,6,1,3303.66
292,83,26,6,6725.63
293,87,33,1,985.66
294,83,48,7,619.66
295,52,18,5,1460.92
296,97,45,2,3303.66
297,43,24,4,7498.65
298,56,30,9,6725.63
299,14,32,4,4643.25
300,2,21,7,7900.81
